day	month	year	AccumulationFinal
14	6	2014	0.0
14	6	2015	28.400000000000006
14	7	2010	0.0
14	7	2013	0.0
14	7	2015	15.8
14	8	2013	0.0
14	8	2015	70.80000000000001
14	9	2013	0.0
14	9	2015	0.0
14	10	2012	15.599999999999998
14	10	2013	0.2
14	10	2015	0.4
14	11	2012	0.0
14	11	2013	25.400000000000002
14	11	2015	0.2
14	12	2012	0.0
14	12	2013	406.8
14	12	2015	8.799999999999999
15	1	2013	0.0
15	1	2014	504.5999999999999
15	1	2016	5.3999999999999995
15	2	2013	813.0
15	2	2014	0.0
15	2	2016	0.0
15	3	2013	85.80000000000001
15	3	2014	552.8000000000001
15	3	2016	10.600000000000001
15	4	2014	3.0000000000000004
15	4	2015	0.0
15	4	2016	0.0
15	5	2013	1.0
15	5	2014	8.800000000000002
15	5	2015	0.0
15	5	2016	1.0
15	6	2010	0.0
15	6	2013	0.0
15	6	2014	0.0
15	6	2015	1.9999999999999998
15	7	2010	15.999999999999995
15	7	2013	0.0
15	7	2015	0.0
15	8	2013	0.0
15	8	2015	0.0
15	9	2013	0.8
15	9	2015	0.0
15	10	2012	2.1999999999999997
15	10	2013	0.0
15	10	2015	16.4
15	11	2012	0.0
15	11	2013	0.0
15	11	2015	0.0
15	12	2012	4.6
15	12	2013	286.20000000000005
15	12	2015	4.800000000000001
16	1	2013	0.0
16	1	2014	0.0
16	1	2016	1.5999999999999999
16	2	2013	0.2
16	2	2014	0.0
16	2	2016	0.2
16	3	2013	0.0
16	3	2014	0.0
16	3	2015	27775.600000000006
16	3	2016	7.200000000000001
16	4	2014	1.7999999999999998
16	4	2015	1.2
16	4	2016	0.0
16	5	2013	0.0
16	5	2014	0.0
16	5	2015	0.0
16	5	2016	0.0
16	6	2010	61.4
16	6	2013	12.2
16	6	2014	0.0
16	6	2015	5.600000000000001
16	7	2010	2.2
16	7	2013	0.0
16	7	2015	0.0
16	8	2013	0.0
16	8	2015	0.0
16	9	2013	0.2
16	9	2015	0.0
16	10	2012	0.2
16	10	2013	4.800000000000001
16	10	2015	1.0
16	11	2012	0.0
16	11	2013	0.0
16	11	2015	0.0
16	12	2012	5.000000000000002
16	12	2013	10.8
16	12	2015	0.8
17	1	2013	0.0
17	1	2014	23.4
17	1	2016	38.2
17	2	2013	0.0
17	2	2014	166.0
17	2	2016	0.2
17	3	2013	0.0
17	3	2014	0.0
17	3	2015	42.0
17	3	2016	2.2
17	4	2014	0.0
17	4	2015	1.2
17	4	2016	0.0
17	5	2013	0.0
17	5	2014	0.0
17	5	2015	0.0
17	6	2010	0.0
17	6	2013	0.0
17	6	2014	51.20000000000001
17	6	2015	0.0
17	7	2010	39.0
17	7	2013	0.0
17	7	2015	10.000000000000002
17	8	2013	0.0
17	8	2015	0.0
17	9	2013	0.0
17	9	2015	0.0
17	10	2012	2.4000000000000004
17	10	2013	7.6000000000000005
17	10	2015	0.0
17	11	2012	0.0
17	11	2013	12.399999999999999
17	11	2015	1.6
17	12	2012	0.2
17	12	2013	0.0
17	12	2015	0.4
18	1	2013	104.20000000000002
18	1	2014	0.0
18	1	2016	407.59999999999997
18	2	2013	0.0
18	2	2014	569.6
18	2	2016	0.0
18	3	2014	111.60000000000001
18	3	2015	0.0
18	3	2016	0.2
18	4	2013	84.0
18	4	2014	0.0
18	4	2015	0.0
18	4	2016	0.0
18	5	2013	0.0
18	5	2014	0.0
18	5	2015	0.0
18	6	2010	0.0
18	6	2013	0.0
18	6	2014	1.4
18	6	2015	0.0
18	7	2010	1.0
18	7	2013	0.0
18	7	2015	0.0
18	8	2013	0.0
18	8	2015	0.0
18	9	2013	0.0
18	9	2015	0.0
18	10	2012	0.4
18	10	2013	0.2
18	10	2015	0.0
18	11	2012	0.0
18	11	2013	67.79999999999998
18	11	2015	2.2
18	12	2012	0.0
18	12	2013	24.400000000000002
18	12	2015	0.4
19	1	2013	520.8000000000002
19	1	2014	4768.199999999999
19	1	2016	20.2
19	2	2013	112.39999999999999
19	2	2014	4.200000000000001
19	2	2016	51.0
19	3	2014	133.0
19	3	2015	0.0
19	3	2016	0.0
19	4	2013	3.0
19	4	2014	0.0
19	4	2015	12.399999999999999
19	4	2016	0.0
19	5	2013	0.0
19	5	2014	0.0
19	5	2015	0.0
19	6	2010	3.6
19	6	2013	0.0
19	6	2014	0.2
19	6	2015	0.0
19	7	2010	2.2
19	7	2013	16.599999999999998
19	7	2015	3.2
19	8	2013	0.0
19	8	2015	4.4
19	9	2013	0.0
19	9	2015	9.200000000000001
19	10	2012	3.400000000000001
19	10	2013	7.400000000000001
19	10	2015	2.6
19	11	2012	0.2
19	11	2013	0.0
19	11	2015	61.6
19	12	2012	0.0
19	12	2013	2.2
19	12	2015	10.799999999999999
20	1	2013	13.799999999999999
20	1	2014	20.6
20	1	2016	0.0
20	2	2013	72.4
20	2	2014	20.4
20	2	2016	158.79999999999998
20	3	2014	750.2
20	3	2015	0.0
20	3	2016	0.0
20	4	2013	0.2
20	4	2014	0.0
20	4	2015	37.6
20	4	2016	0.0
20	5	2013	7.8
20	5	2014	6.200000000000001
20	5	2015	0.0
20	6	2010	0.0
20	6	2013	0.0
20	6	2014	0.0
20	6	2015	0.0
20	7	2010	0.0
20	7	2013	15.6
20	7	2015	0.0
20	8	2013	0.0
20	8	2015	10.2
20	9	2013	6.200000000000001
20	9	2015	0.0
20	10	2012	6.000000000000002
20	10	2013	0.0
20	10	2015	1.5999999999999999
20	11	2012	0.0
20	11	2013	0.2
20	11	2015	25.8
20	12	2012	119.00000000000006
20	12	2013	6.000000000000002
20	12	2015	0.0
21	1	2013	9.0
21	1	2014	0.0
21	1	2016	0.0
21	2	2013	8.6
21	2	2014	6515.999999999999
21	2	2016	0.0
21	3	2014	0.0
21	3	2015	33.6
21	3	2016	0.0
21	4	2013	0.0
21	4	2014	0.0
21	4	2015	11.599999999999994
21	4	2016	3.6
21	5	2013	1.2
21	5	2014	0.0
21	5	2015	0.0
21	6	2010	0.0
21	6	2013	0.0
21	6	2014	0.0
21	6	2015	1.5999999999999999
21	7	2010	9.0
21	7	2013	0.0
21	7	2015	0.0
21	8	2013	0.0
21	8	2015	0.0
21	9	2013	34.199999999999996
21	9	2015	0.0
